"GeneA"	"GeneB"	"Connection"
"14-3-3_family_(family)"	"14-3-3_family/BAD/CaM/Ca2+/Calcineurin_A_alpha-beta_B1_(complex)"	"component>"
"14-3-3_family_(family)"	"14-3-3_family/chibby/beta_catenin_(complex)"	"component>"
"14-3-3_family_(family)"	"14-3-3_family/TSC2_(complex)"	"component>"
"14-3-3_family_(family)"	"alpha6/beta4_Integrin/Laminin/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"AS160/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"BRAF/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"BRAF/14-3-3_(dimer)_(complex)"	"component>"
"14-3-3_family_(family)"	"CDC25B/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"FOXO1/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"FOXO1-3a-4/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"FOXO3A/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"FOXO3a/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"FOXO4/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"KSR/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"KSR/14-3-3_(dimer)/MEK1-2_(complex)"	"component>"
"14-3-3_family_(family)"	"KSR/14-3-3_/MEK1-2_(complex)"	"component>"
"14-3-3_family_(family)"	"mTORC1/PRAS40/DEPTOR/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"mTORC1_complex/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"p27Kip1/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"p27Kip1/KPNA1_(complex)"	"component>"
"14-3-3_family_(family)"	"PRAS40/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"RAF1/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"RAF1/14-3-3_(dimer)_(complex)"	"component>"
"14-3-3_family_(family)"	"RAF1/BRAF/14-3-3/14-3-3_(complex)"	"component>"
"14-3-3_family_(family)"	"REDD1/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"Ron/MSP/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"SIK1/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"SIK3/14-3-3_family_(complex)"	"component>"
"14-3-3_family_(family)"	"TSC1/TSC2/14-3-3_family_(complex)"	"component>"
"14-3-3E_homodimer_(complex)"	"NGF_ligand/p75NTR/NADE/14-3-3epsilon_(complex)"	"component>"
"14-3-3zeta_dimer_(complex)"	"14-3-3-zeta/Raf1_(complex)"	"component>"
"20S_Proteasome_(complex)"	"26S_Proteasome_(complex)"	"component>"
"20S_Proteasome_(complex)"	"Hybrid_Proteasome_(complex)"	"component>"
"20S_Proteasome_(complex)"	"PA28_Proteasome_(complex)"	"component>"
"26S_proteasome_(complex)"	"Axin/CK1alpha/GSK3B/phospho-APC_(20_aa_repeat_region)/PP2A/FAM123B_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"Cdc20/Cdh1_(family)"	"-a>"
"26S_proteasome_(complex)"	"Cdc20/Phospho-APC/C_(complex)"	"-a>"
"26S_proteasome_(complex)"	"CDK1"	"-a>"
"26S_proteasome_(complex)"	"Cyclin_E/A/Cdk2_(complex)"	"-a>"
"26S_proteasome_(complex)"	"L-Amino_Acids_(family)"	"-a>"
"26S_proteasome_(complex)"	"MCC/APC/C_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"Ornithine_Decarboxylase_antizymes_(family)"	"-a>"
"26S_proteasome_(complex)"	"phospho-APC/C/Cdh1_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"phosphorylated_anaphase_promoting_complex_(APC/C)_(complex)"	"-a>"
"26S_proteasome_(complex)"	"SCF(Skp2)/Cks1_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"SCF-beta-TrCP1_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"UBIQ_HUMAN_(family)"	"-a>"
"26S_proteasome_(complex)"	"ubiquitin_(family)"	"-a>"
"26S_proteasome_(complex)"	"Vif/Cul5/SCF_complex_(complex)"	"-a>"
"26S_proteasome_(complex)"	"Vpu/beta-TrCP1/Skp1_complex_(complex)"	"-a>"
"26S_Proteasome_(complex)"	"cell_death_(abstract)"	"-a>"
"26S_Proteasome_(complex)"	"degradation_(abstract)"	"-a>"
"26S_Proteasome_(complex)"	"proteasomal_ubiquitin-dependent_protein_catabolic_process_(abstract)"	"-a|"
"26S_Proteasome_(complex)"	"SNCA"	"-a>"
"3prime-polyadenylated_capped_mRNA_complex_(complex)"	"TAP/3prime-polyadenylated_capped_mRNA_complex_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"40s_Ribosome_subunit/60s_Ribosome_Subunit/RNA_strand_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"40s_Ribosome_subunit/eIF3_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"40s_Ribosome_subunit/RNA_strand_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"43S_Ribosome_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"43s_Ribosome_subunit_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"48S/S6_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"48s_Ribosome_subunit_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"EIF-4E/EIF-4G/EIF-4A/eIF-4B/RNA_strand/eIF3/40s_Ribosome_subunit_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"RPS6(+)/eIF3/40s_Ribosome_subunit_(complex)"	"component>"
"40S RIBOSOME SUBUNIT"	"RPS6/eIF3/40s_Ribosome_subunit_(complex)"	"component>"
"40S_ribosomal_complex_(complex)"	"40S/eIF3/eIF1A_(complex)"	"component>"
"40S_ribosomal_complex_(complex)"	"40S/Met-tRNAi/mRNA_(complex)"	"component>"
"40S_ribosomal_complex_(complex)"	"80S_monosome_(complex)"	"component>"
"40S_ribosomal_complex_(complex)"	"eIF3/eIGF1A/40S/Met-tRNAi/eIF2/GTP_(complex)"	"component>"
"40s_Ribosomal_subunit_(complex)"	"40S_S6_ribosomal_protein_/40s_Ribosomal_subunit/eIF3_(complex)"	"component>"
"40s_Ribosome_subunit/60s_Ribosome_Subunit/RNA_strand_(complex)"	"translation_(abstract)"	"-a>"
"40s_Ribosome_subunit/60s_Ribosome_Subunit/RNA_strand_(complex)"	"translational_elongation_(abstract)"	"-a>"
"40s_Ribosome_subunit/eIF3_(complex)"	"43s_Ribosome_subunit_(complex)"	"component>"
"40s_Ribosome_subunit/RNA_strand_(complex)"	"40s_Ribosome_subunit/60s_Ribosome_Subunit/RNA_strand_(complex)"	"component>"
"4-1BB/TRAF2_(complex)"	"4-1BBL/4-1BB/TRAF2_(complex)"	"component>"
"4-1BBL/4-1BB/TRAF2_(complex)"	"MAP3K5"	"-a>"
"43S/_Ceruloplasmin_mRNA/eIF4F/eIF4B/eIF4H/PABP_(complex)"	"phospho-L13a_associated_wth_the__3prime_UTR_GAIT_element_of_ceruloplasmin_mRNA_within__the_translation_initiation_complex_(complex)"	"component>"
"43S_Ribosome_(complex)"	"48S/S6_(complex)"	"component>"
"43s_Ribosome_subunit_(complex)"	"48s_Ribosome_subunit_(complex)"	"component>"
"48S/S6_(complex)"	"muscle_development_(abstract)"	"-a>"
"48s_Ribosome_subunit_(complex)"	"40s_Ribosome_subunit/RNA_strand_(complex)"	"component>"
"48s_Ribosome_subunit_(complex)"	"EIF-2-beta/EIF-2-gamma/EIF-2-alpha_(complex)"	"component>"
"4E-BP1/eIF4E_(complex)"	"translational_initiation_(abstract)"	"-a>"
"5.8 S RRNA"	"ribosome_biogenesis_(abstract)"	"-a>"
"53BP1/H2AX_complex_at_site_of_double-strand_break_(complex)"	"BRCA1/53BP1_complex_at_site_of_DNA_double-strand_break_(complex)"	"component>"
"5-HT1A-F/5_receptor/serotonin_(complex)"	"Ligand/GPCR_complexes_that_activate_Gi_(family)"	"member>"
"5-HT1A-F/5_receptor_(family)"	"5-HT1A-F/5_receptor/serotonin_(complex)"	"component>"
"5-HT1A-F/5_receptor_(family)"	"GPCRs_that_activate_Gi_(family)"	"member>"
"5-HT2_receptor/Serotonin_(complex)"	"Ligand/GPCR_complexes_that_activate_Gq/11_(family)"	"member>"
"5-HT2_receptor_(family)"	"5-HT2_receptor/Serotonin_(complex)"	"component>"
"5-HT2_receptor_(family)"	"GPCRs_that_activate_Gq/11_(family)"	"member>"
"5-HT4/6/7_receptor/serotonin_(complex)"	"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"member>"
"5-HT4/6/7_receptor_(family)"	"5-HT4/6/7_receptor/serotonin_(complex)"	"component>"
"5-HT4/6/7_receptor_(family)"	"GPCRs_that_activate_Gs_(family)"	"member>"
"5prime-nucleotidase_ecto_(CD73)_holoenzyme_(complex)"	"adenosine_deoxyadenosine_guanosine_inosine_(family)"	"-a>"
"5prime-nucleotidase_ecto_(CD73)_holoenzyme_(complex)"	"cytidine_thymidine_uridine_(family)"	"-a>"
"60S RIBOSOME SUBUNIT"	"40s_Ribosome_subunit/60s_Ribosome_Subunit/RNA_strand_(complex)"	"component>"
"60S_ribosomal_complex_(complex)"	"80S_monosome_(complex)"	"component>"
"6-phosphofructo-2-kinase/fructose-26-biphosphatase_2_homodimer_(complex)"	"6-phosphofructo-2-kinase/fructose-26-bisphosphatase_isoform_homodimers_(family)"	"member>"
"6-phosphofructo-2-kinase/fructose-26-biphosphatase_3_homodimer_(complex)"	"6-phosphofructo-2-kinase/fructose-26-bisphosphatase_isoform_homodimers_(family)"	"member>"
"6-phosphofructo-2-kinase/fructose-26-biphosphatase_4_homodimer_(complex)"	"6-phosphofructo-2-kinase/fructose-26-bisphosphatase_isoform_homodimers_(family)"	"member>"
"7SL RNA (ENSG00000222619)"	"7SL_RNA_(family)"	"member>"
"7SL RNA (ENSG00000222639)"	"7SL_RNA_(family)"	"member>"
"7SL_RNA_(family)"	"signal_recognition_particle_endoplasmic_reticulum_targeting_(complex)"	"component>"
"80S/Met-tRNAi/mRNA_(complex)"	"80S/aminoacyl_tRNA/mRNA/eEF1A/GTP_(complex)"	"component>"
"80S/Met-tRNAi/mRNA_(complex)"	"80S/Met-tRNAi/mRNA/aminoacyl-tRNA_(complex)"	"component>"
"80S_monosome_(complex)"	"80S/Met-tRNAi/mRNA/aminoacyl-tRNA_(complex)"	"-a>"
"80S_monosome_(complex)"	"80S/Met-tRNAi/mRNA/eIF5B/GTP_(complex)"	"component>"
"80S_monosome_(complex)"	"80S/Met-tRNAi/mRNA_(complex)"	"component>"
"80S_monosome_(complex)"	"80S_Ribosome/mRNA/peptidyl-tRNA_with_elongating_peptide_(complex)"	"component>"
"80S_monosome_(complex)"	"eEF1A/GDP_(complex)"	"-a>"
"80S_monosome_(complex)"	"elongating_polypeptide_chain_(complex)"	"component>"
"80S_monosome_(complex)"	"Elongation_complex_with_growing_peptide_chain_(complex)"	"component>"
"80S_monosome_(complex)"	"eRF3-GDP/eRF1/80S_Ribosome/mRNA/tRNA_Complex_(complex)"	"component>"
"80S_monosome_(complex)"	"membrane-bound_ribosome/mRNA/cleaved_polypeptide_(complex)"	"component>"
"80S_monosome_(complex)"	"membrane-bound_ribosome/mRNA/polypeptide+signal_(complex)"	"component>"
"80S_monosome_(complex)"	"P0C0U1"	"-a>"
"80S_monosome_(complex)"	"ribosome/mRNA/polypeptide+signal_(complex)"	"component>"
"80S_monosome_(complex)"	"Translated_mRNA_Complex_with_Premature_Termination_Codon_Not_Preceding_Exon_Junction_(complex)"	"component>"
"80S_monosome_(complex)"	"Translated_mRNA_Complex_with_Premature_Termination_Codon_Preceding_Exon_Junction_(complex)"	"component>"
"80S_monosome_(complex)"	"viral_antigens_(complex)"	"-a>"
"80S_Ribosome/mRNA/peptidyl-tRNA_with_elongating_peptide_(complex)"	"eRF3-GDP/eRF1/80S_Ribosome/mRNA/peptidyl-tRNA_Complex_(complex)"	"component>"
"80S_Ribosome/mRNA/peptidyl-tRNA_with_elongating_peptide_(complex)"	"eRF3-GTP/eRF1/80S_Ribosome/mRNA/peptidyl-tRNA_Complex_(complex)"	"component>"
"911_complex_(complex)"	"Telomerase/911_(complex)"	"component>"
"9CISRA"	"Retinoids_(family)"	"member>"
"A1/A3_receptor/Adenosine_(complex)"	"Ligand/GPCR_complexes_that_activate_Gi_(family)"	"member>"
"A1/A3_receptors_(family)"	"A1/A3_receptor/Adenosine_(complex)"	"component>"
"A1/A3_receptors_(family)"	"GPCRs_that_activate_Gi_(family)"	"member>"
"A2a/A2b_receptor/Adenosine_(complex)"	"Ligand/GPCR_complexes_that_activate_Gs_(family)"	"member>"
"A2a/A2b_receptors_(family)"	"A2a/A2b_receptor/Adenosine_(complex)"	"component>"
"A2a/A2b_receptors_(family)"	"GPCRs_that_activate_Gs_(family)"	"member>"
"A2M"	"alpha2-macroglobulin_(complex)"	"component>"
"A2M"	"GAP_proteins_(family)"	"member>"
"A2M"	"Platelet_alpha_granule_contents_(family)"	"member>"
"AAAS"	"Nuclear_Pore_Complex_(NPC)_(complex)"	"component>"
"AASDHPPT"	"FASN"	"-a>"
"AATF"	"BAX"	"-t|"
"AATF"	"CDKN1A"	"-t"
"AATF"	"KLK3"	"-t"
"AATF"	"MYC"	"-t>"
"AATF"	"NGF_ligand/p75NTR/NRAGE/CHE1_(complex)"	"component>"
"AATF"	"RB1/E2F1-3/DP/CHE-1_(complex)"	"component>"
"AATF"	"RB1/E2F1-3/DP/HDAC1_(complex)"	"component>"
"AATF"	"TP53"	"-t"
"ABCA1"	"ABCA1_tetramer_(complex)"	"component>"
"ABCA1_tetramer_(complex)"	"ABCA1/apoA-I_complex_(complex)"	"component>"
"ABCA10-5"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCA12"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCA2"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCA3"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCA6"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCA7"	"ABCA7-1/ApoA1_complex_(complex)"	"component>"
"ABCA7-1/ApoA1_complex_(complex)"	"ABCA7-dependent_phospholipids_(family)"	"-a>"
"ABCA8"	"ABCA8/B1/B5_(family)"	"member>"
"ABCA9"	"ABCA_cholesterol_transporters_(family)"	"member>"
"ABCB1"	"ABCA8/B1/B5_(family)"	"member>"
"ABCB11"	"bile_salts_(family)"	"-a>"
"ABCB5"	"ABCA8/B1/B5_(family)"	"member>"
"ABCC1"	"ABCCs_(family)"	"member>"
"ABCC10"	"ABCCs_(family)"	"member>"
"ABCC11"	"ABCCs_(family)"	"member>"
"ABCC2"	"ABCCs_(family)"	"member>"
"ABCC3"	"ABCCs_(family)"	"member>"
"ABCC3"	"bile_salts_and_acids_complexed_with_albumin_(complex)"	"-a>"
"ABCC3"	"FABP6"	"-a>"
"ABCC4"	"ABCC4_transported_dense_granule_content_(family)"	"-a>"
"ABCC4"	"ABCCs_(family)"	"member>"
"ABCC5"	"ABCCs_(family)"	"member>"
"ABCC6"	"ABCCs_(family)"	"member>"
"ABCC8"	"ABCCs_(family)"	"member>"
"ABCC8"	"ATP_sensitive_K+_channels-inwardly_rectifying_(SUR1)_(complex)"	"component>"
"ABCC8"	"Inward_Rectifying_Potassium_Channel_(closed)_(complex)"	"-a>"
"ABCC8"	"Inward_Rectifying_Potassium_Channel_(open)_(complex)"	"component>"
"ABCC8"	"SUR1-ATP_Complex_(complex)"	"component>"
"ABCC9"	"ABCCs_(family)"	"member>"
"ABCC9"	"ATP_sensitive_K+_channels-inwardly_rectifying_(SUR2)_(complex)"	"component>"
"ABCG2"	"ABCG2_dimer_(complex)"	"component>"
"ABHD5"	"perilipin/CGI-58_complex_(complex)"	"component>"
"ABI1"	"ABI1/N-WASP_(complex)"	"component>"
"ABI1"	"ABI1/Sra1/Nap1_(complex)"	"component>"
"ABI1"	"alpha4/beta1_Integrin/VCAM1/ABI1_(complex)"	"component>"
"ABI1"	"Eps8/ABI1/SOS1_(complex)"	"component>"
"ABI1"	"SOS1/Eps8/ABI1_(complex)"	"component>"
"ABI1"	"WAVE2/Nap1/Sra1/ABI1/HSPC300_(complex)"	"component>"
"ABI1"	"WAVE2/Nap1/Sra1/ABI1_(complex)"	"component>"
"ABI1/N-WASP_(complex)"	"Arp2/3_complex_(complex)"	"-a|"
"ABI1/Sra1/Nap1_(complex)"	"DIAPH1"	"-a|"
"ABI1/Sra1/Nap1_(complex)"	"WASF2"	"-a|"
"ABI2"	"WAVE1/Sra1/Nap1/HSPC300/ABI2_(complex)"	"component>"
"Abl/Robo1/Slit2/Glypican-1_(complex)"	"Abl/pRobo1/slit2/Glypican-1_(complex)"	"-a>"
"Abl/Robo1/Slit2/Glypican-1_(complex)"	"CAP/Abl/Robo1/Slit2/Glypican-1_(complex)"	"component>"
"Abl/Robo1/Slit2/Glypican-1_(complex)"	"Clasp/Abl/Robo1/Slit2/Glypican-1_(complex)"	"component>"
"Abl_tyrosine_kinases_(family)"	"Abl/pRobo1/slit2/Glypican-1_(complex)"	"component>"
"Abl_tyrosine_kinases_(family)"	"Abl/Robo1/Slit2/Glypican-1_(complex)"	"component>"
"ABL1"	"Abl_tyrosine_kinases_(family)"	"member>"
"ABL1"	"ABL1/JLP/CDO_complex_(complex)"	"component>"
"ABL1"	"BAX"	"-t>"
"ABL1"	"BCL2"	"-t|"
"ABL1"	"BCL6"	"-t|"
"ABL1"	"CCND2"	"-t>"
"ABL1"	"CDK5"	"-a|"
"ABL1"	"CDK5/CABLES/ABL_(complex)"	"component>"
"ABL1"	"CDKN1A"	"-t>"
"ABL1"	"CDKN2A"	"-t>"
"ABL1"	"cell_migration_(abstract)"	"-a>"
"ABL1"	"CSF1"	"-t>"
"ABL1"	"FOXO3"	"-t>"
"ABL1"	"JUN"	"-t>"
"ABL1"	"MAPK8"	"-a>"
"ABL1"	"MDM2"	"-a>"
"ABL1"	"PDGF-BB/PDGFRB_(dimer)_(complex)"	"-a|"
"ABL1"	"PIM1"	"-t>"
"ABL1"	"PLCG1"	"-a>"
"ABL1"	"RAC1/GTP_(complex)"	"-a|"
"ABL1"	"RAD51"	"-a|"
"ABL1"	"RB/HDAC/ABL/E2F-1/DP-1_(complex)"	"component>"
"ABL1"	"RB1/c-Abl_(complex)"	"component>"
"ABL1"	"Slit/Robo/c-Abl/Cables_(complex)"	"component>"
"ABL1"	"SOS1/Eps8/ABI1_(complex)"	"-a|"
"ABL1"	"TAp63a_(tetramer)_(complex)"	"-a|"
"ABL1"	"TAp63b_(tetramer)_(complex)"	"-a|"
"ABL1"	"TAp73a_(tetramer)_(complex)"	"-a|"
"ABL1"	"TERT/c-Abl_(complex)"	"component>"
"ABL1"	"TP53"	"-t>"
"ABL1"	"TP73"	"-a>"
"ABL1"	"TRKA/c-Abl_(complex)"	"component>"
"ABL1"	"WAVE2/Nap1/Sra1/ABI1/HSPC300_(complex)"	"-a|"
"ABL1/JLP/CDO_complex_(complex)"	"p38_alpha/beta/gamma/ABL1/JLP/CDO_complex_(complex)"	"component>"
"ABL1/JLP/CDO_complex_(complex)"	"pp38_alpha/beta/gamma/ABL1/JLP/CDO_complex_(complex)"	"component>"
"ABL2"	"Abl_tyrosine_kinases_(family)"	"member>"
"ABL2"	"NCK/PIR/Abl2/Nap_(complex)"	"component>"
"ABL2"	"RAC1/PIR/Abl2/Nap_(complex)"	"component>"
"ABL2"	"WAVE1-3/Nap/PIR/Abl2/HSPC_(complex)"	"component>"
"ABLIM_(family)"	"Netrin-1/DCC/pFyn/Nck/Rac1-GTP/Ablim_(complex)"	"component>"
"ABLIM1"	"ABLIM_(family)"	"member>"
"ABLIM2"	"ABLIM_(family)"	"member>"
"ABLIM3"	"ABLIM_(family)"	"member>"
"ABR"	"ABR"	"-a>"
"ABR"	"Abr_(family)"	"member>"
"ABR"	"RAC1/GDP_(complex)"	"-a|"
"ABR"	"RHOA/GTP_(complex)"	"-a|"
"Abr_(family)"	"GAP_proteins_(family)"	"member>"
"Abr_(family)"	"GEF_(family)"	"member>"
"absorption_of_light_(abstract)"	"Cone_Metarhodopsin_II_(complex)"	"-a|"
"absorption_of_light_(abstract)"	"Metarhodopsin_II_(complex)"	"-a|"
"absorption_of_light_(abstract)"	"RHO"	"-a>"
"absorption_of_UV_light_(abstract)"	"S_phase_of_mitotic_cell_cycle_(abstract)"	"-a>"
"ASAH1"	"G-alpha-S/AC_(complex)"	"component>"
"ASAH1"	"GPCR/AC/G-alpha-s_(complex)"	"component>"
"ASAH1"	"NT/GPCR/AC/G-alpha-s_(complex)"	"component>"
"ACACA"	"ACACA"	"-a>"
"ACACA"	"ACC1_isoforms_(family)"	"member>"
"ACACB"	"ACC_(family)"	"member>"
"ACADM"	"MCAD_acyl-CoA_dehydrogenase_homotetramer_(complex)"	"component>"
"ACADVL"	"VLCAD_acyl-CoA_dehydrogenase_homodimer_(complex)"	"component>"
"ACAP1"	"ARF6/GDP/GULP/ACAP1_(complex)"	"component>"
"ACAP1"	"ARF6/GDP_(complex)"	"-a|"
"ACAP1"	"clathrin_heavy_chain/ACAP1_(complex)"	"component>"
"ACAP1"	"GLUT4/clathrin_heavy_chain/ACAP1_(complex)"	"component>"
"ACAP2"	"ARF6/GDP_(complex)"	"-a|"
"ACC1_isoforms_(family)"	"ACC_(family)"	"member>"
"ACD"	"Shelterin_Complex/Apollo_(complex)"	"component>"
"ACD"	"Shelterin_Complex_(complex)"	"component>"
"ACD"	"Shelterin_complex_(complex)"	"component>"
"acetaminophen/CAR_(complex)"	"CYP1A2"	"-t>"
"acetaminophen/CAR_(complex)"	"CYP2E1"	"-t>"
"acetaminophen/CAR_(complex)"	"CYP3A"	"-t>"
"Acetylated_SL1_(complex)"	"Acetylayed_SL1/PhosUBF-1/rDNA_promoter_(complex)"	"component>"
"Acetylated_SL1_(complex)"	"RNA_Polymerase_I_promoter_escape_complex_(complex)"	"component>"
"Acetylayed_SL1/PhosUBF-1/rDNA_promoter_(complex)"	"RNA_Polymerase_I_Transcription_Initiation_complex_(complex)"	"component>"
"Acetylcholine_Loaded_Synaptic_Vesicle_(complex)"	"Docked_acetylcholine_loaded_Synaptic_Vesicle_(complex)"	"component>"
"Acetylcholine_Receptor_(homomeric)_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_Receptor_(homomeric)_(complex)"	"Highly_calcium_permeable_postsynaptic__nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_alpha3(2)-beta4(3)_(complex)"	"Highly_sodium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_alpha3-beta2-aplha5_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_alpha3-beta4_(complex)"	"Highly_sodium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_alpha3-beta4-apha5_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_Receptor_alpha4(2)-beta2(3)_subunits_(complex)"	"Highly_sodium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"acetylcholine_receptor_alpha6_aplha4_beta3_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_alpha6_beta3_beta4_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_receptor_containing_alpha7_subunit_(complex)"	"Highly_calcium_permeable_postsynaptic__nicotinic_acetylcholine_receptors_(family)"	"member>"
"acetylcholine_receptor_subunits_(family)"	"Acetylcholine_receptor_containing_alpha7_subunit_(complex)"	"component>"
"Acetylcholine_receptors_alpha2(3)__beta3(2)_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Acetylcholine_Receptors_alpha4(3)-beta2(2)_(complex)"	"Highly_calcium_permeable_nicotinic_acetylcholine_receptors_(family)"	"member>"
"Ach/Ach_R/G-alpha-q/G-beta/G-gamma_(complex)"	"PLCG1"	"-a>"
"ACh/CHRNA1_(complex)"	"muscle_contraction_(abstract)"	"-a>"
"Ach_R/RAPSYN_(complex)"	"agrin/Integrin-alpha/Integrin-beta/dystroglycan_1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach_R/RAPSYN/utrophin_(complex)"	"component>"
"Ach_R_(family)"	"Ach/Ach_R/G-alpha-q/G-beta/G-gamma_(complex)"	"component>"
"Ach_R_(family)"	"Ach_R/G-alpha-q/G-beta/G-gamma_(complex)"	"component>"
"Ach_R_(family)"	"Ach_R/RAPSYN_(complex)"	"component>"
"Ach_R_(family)"	"agrin/Integrin-alpha/Integrin-beta/dystroglycan_1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach_R/RAPSYN/utrophin_(complex)"	"component>"
"ACHE"	"ACHE_dimer_(complex)"	"component>"
"ACHE"	"ACHE_oligomer_(family)"	"member>"
